freq,unit,hhtyp,geo\TIME_PERIOD	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,PC_HH,A2,IS	: 	: 	68.83 	71.78 	80.09 	84.30 	86.18 	85.71 	92.94 	93.85 	97.45 	96.15 	98.30 	: 	: 	98.34 	99.04 	98.64 	99.09 	98.64 	: 	: 	: 
A,PC_HH,A2,IT	16.13 	22.42 	20.47 	24.94 	26.30 	28.75 	33.38 	37.83 	44.30 	46.93 	49.75 	54.90 	58.63 	62.79 	67.02 	70.07 	77.25 	78.58 	83.41 	86.06 	87.20 	88.78 	91.25 
A,PC_HH,A2,LT	: 	: 	7.38 	10.81 	21.19 	26.21 	38.68 	50.82 	53.74 	48.83 	53.13 	58.39 	53.13 	62.19 	60.69 	66.68 	69.52 	75.83 	73.29 	81.21 	83.21 	84.76 	89.22 
A,PC_HH,A2,LU	32.41 	37.08 	58.11 	59.77 	64.18 	67.16 	79.89 	85.84 	87.53 	87.71 	92.61 	95.52 	96.02 	98.53 	96.53 	97.12 	94.39 b	96.17 	94.82 	99.55 	97.83 	98.79 	98.75 
A,PC_HH,A2,LV	: 	: 	8.61 	21.52 	27.70 	32.75 	36.82 	45.15 	48.91 	54.67 	60.90 	65.91 	67.15 	74.60 	75.46 b	76.41 	81.82 	85.46 	88.20 	91.66 	92.93 	93.65 	: 
A,PC_HH,A2,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	28.72 	: 	: 	: 	: 	47.95 	53.60 	62.07 	68.88 	68.58 	78.82 	76.08 	76.79 
A,PC_HH,A2,MK	: 	: 	4.73 	: 	5.54 	: 	10.45 	15.14 	17.20 	: 	20.48 	27.23 	27.19 	31.35 	53.19 	44.84 	56.00 	58.96 	63.81 	72.28 	: 	: 	86.16 
A,PC_HH,A2,MT	: 	: 	: 	24.84 	56.48 	31.71 	36.91 	44.02 	43.65 	62.71 	62.24 	64.92 	74.04 	71.78 	74.58 	78.41 	80.08 	78.99 	88.39 	88.39 	91.44 	91.57 	93.58 
A,PC_HH,A2,NL	: 	: 	: 	76.28 	77.57 	82.07 	86.46 	89.53 	89.62 	93.91 	94.55 	95.69 	96.60 	95.92 	95.84 	98.89 	97.98 	98.18 	98.52 	98.26 	98.22 	98.48 	99.18 
A,PC_HH,A2,NO	: 	57.40 	65.30 	63.21 	76.31 	79.93 	86.43 	88.73 	88.18 	92.39 	94.74 	94.59 	95.54 	97.99 	97.30 	98.72 	97.36 	99.71 	98.35 	99.61 	99.13 	99.50 	99.02 
A,PC_HH,A2,PL	: 	: 	16.45 	19.44 	24.59 	26.99 	32.63 	41.42 	46.11 	49.54 	53.70 	54.43 	59.36 	61.81 	70.18 	72.19 	76.91 	79.12 	85.37 	88.52 	89.86 	91.44 	95.28 
A,PC_HH,A2,PT	: 	11.81 	13.52 	24.18 	18.22 	19.65 	25.97 	26.57 	32.29 	36.27 	41.48 	43.03 	46.55 	53.96 	60.62 	64.66 	69.42 	72.60 	75.95 	81.08 	83.09 	85.29 	87.82 
A,PC_HH,A2,RO	: 	: 	: 	: 	10.15 	15.85 	19.95 	26.27 	31.11 	34.13 	39.55 	45.12 	47.57 b	55.21 	60.42 	65.71 	73.84 	78.07 	81.90 	84.44 	87.02 	91.14 	93.80 
A,PC_HH,A2,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	39.31 	: 	52.63 	61.02 	71.86 	71.12 	70.80 	72.78 	82.02 	88.38 
A,PC_HH,A2,SE	: 	: 	: 	75.69 	82.44 	80.49 	83.18 	86.81 	89.41 	93.62 	92.18 	94.45 	90.10 	93.51 	96.81 b	96.22 	96.65 	98.34 	99.02 	97.09 	97.88 	97.74 	97.90 
A,PC_HH,A2,SI	: 	: 	20.83 	29.43 	28.41 	29.67 	33.73 	43.18 	49.89 	56.95 	66.26 	62.68 	66.62 	70.94 	68.07 	77.32 	83.88 	84.02 	85.05 	92.51 	92.24 	91.03 	92.03 
A,PC_HH,A2,SK	: 	: 	19.37 	16.35 	18.39 	31.53 	48.53 	48.39 	55.39 	63.02 	66.19 	71.57 	74.01 	74.26 	74.77 	72.09 	72.08 	76.26 	82.50 	85.57 	85.94 	87.10 	90.59 
A,PC_HH,A2,TR	: 	: 	4.28 	: 	: 	11.71 	16.13 	18.72 	28.70 	: 	34.39 	34.38 	: 	: 	: 	: 	: 	: 	78.49 	: 	86.39 	89.98 	92.28 
A,PC_HH,A2,UK	47.67 	53.72 	51.90 	59.59 	62.12 	69.36 	73.32 	78.10 	80.12 	82.10 	88.87 	88.31 	93.78 	93.55 	95.57 	95.17 	96.22 	96.52 	97.88 	: 	: 	: 	: 
A,PC_HH,A2,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	70.02 	82.22 	81.66 	89.57 	: 	: 	: 	: 
A,PC_HH,A2_DCH,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	84.84 	89.40 	88.88 	93.42 	100.00 	99.85 	: 
A,PC_HH,A2_DCH,AT	44.81 	51.34 	63.35 	64.57 	69.02 	78.35 	84.59 	91.56 	94.06 	95.93 	97.20 	97.65 	97.83 	99.26 	98.61 	99.10 	98.85 	98.44 	98.69 	99.90 	98.63 	100.00 	99.38 
A,PC_HH,A2_DCH,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	80.67 	80.22 	91.77 	97.66 	: 	97.97 	99.84 
A,PC_HH,A2_DCH,BE	: 	: 	: 	70.86 	74.91 	79.69 	82.35 	86.35 	90.12 	92.15 	95.24 	95.11 	95.47 	96.72 	95.82 	97.35 	98.47 	98.55 	98.16 	98.98 	98.99 	99.22 	99.68 
A,PC_HH,A2_DCH,BG	: 	: 	15.28 	: 	: 	38.46 	49.50 	64.51 	66.32 	70.20 	74.98 	77.85 	83.65 	88.31 	90.34 	91.07 	92.03 	94.85 	95.48 	96.90 	96.89 	96.92 	98.87 
A,PC_HH,A2_DCH,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	99.31 	: 	: 	98.52 b	: 	98.33 	: 	99.73 	: 	100.00 	: 
A,PC_HH,A2_DCH,CY	: 	: 	55.97 	39.81 	46.91 	51.02 	58.07 	68.51 	73.49 	76.41 	78.40 	83.12 	88.18 	90.52 	94.59 	94.49 	96.88 	99.75 	99.87 	99.18 	100.00 	99.48 	100.00 
A,PC_HH,A2_DCH,CZ	: 	: 	35.59 	34.59 	48.49 	52.36 	64.20 	78.26 	80.14 	85.17 	91.28 	92.30 	93.64 	93.69 	95.70 	96.96 	98.26 	98.28 	98.57 	99.56 	99.59 	98.62 	99.54 
A,PC_HH,A2_DCH,DE	67.86 	78.47 	82.93 	84.97 	88.49 	91.33 	95.08 	96.88 	97.93 	98.32 	98.97 	98.92 	99.49 	99.71 	99.69 	99.70 	99.85 	99.65 	99.95 	98.70 b	98.03 	98.04 	98.22 
A,PC_HH,A2_DCH,DK	75.86 	83.91 	87.93 	93.51 	95.08 	95.76 	96.00 	97.03 	97.62 	98.52 	99.47 	98.00 	97.53 	98.45 	98.68 	100.00 	97.83 	99.04 	98.84 	99.49 	99.18 	98.80 	98.77 
A,PC_HH,A2_DCH,EA	48.84 	53.93 	56.84 	64.54 	65.07 	71.43 	77.12 	81.86 	86.25 	89.64 	90.66 	92.70 	94.72 	95.66 	96.81 	96.82 	97.99 	98.36 	98.73 e	98.97 b	98.85 	98.87 	98.88 
A,PC_HH,A2_DCH,EE	: 	: 	52.36 	56.26 	72.13 	82.13 	88.43 	92.26 	92.93 	96.02 	96.92 	98.80 	98.91 b	99.32 	99.61 	99.47 	99.43 	99.36 	99.09 	99.33 	99.63 	99.90 	99.86 
A,PC_HH,A2_DCH,EL	18.85 	24.29 	25.80 	28.40 	34.03 	37.72 	45.38 	54.81 	64.91 	73.87 	79.55 	80.40 	86.99 	90.59 	90.06 	90.39 	95.16 	94.97 	96.53 	97.81 	98.20 	99.16 	97.90 
A,PC_HH,A2_DCH,ES	: 	: 	: 	43.66 	48.82 	54.83 	61.81 	66.64 	73.00 	78.79 	82.28 	85.64 	90.30 	93.54 	95.78 	95.70 	97.62 	99.13 	99.92 	99.83 	100.00 	99.78 	99.22 
A,PC_HH,A2_DCH,EU15	52.72 	58.07 	61.13 	69.80 	69.15 	73.74 	78.96 	84.26 	87.99 	90.89 	92.13 	92.37 	95.47 	96.11 	97.29 	97.29 	98.35 	: 	: 	: 	: 	: 	: 
A,PC_HH,A2_DCH,EU25	: 	: 	55.57 	64.15 	66.60 	71.58 	77.48 	83.35 	87.37 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC_HH,A2_DCH,EU27_2007	: 	: 	55.10 	64.15 	64.75 	69.48 	75.87 	82.03 	86.04 	89.18 	90.96 	91.59 	94.56 	95.31 	96.89 	97.11 	98.08 	: 	: 	: 	: 	: 	: 
A,PC_HH,A2_DCH,EU27_2020	: 	: 	: 	: 	: 	67.73 	74.52 	80.27 	84.70 	88.22 	89.94 	91.96 	93.90 	94.90 	96.50 	96.75 	97.77 	98.28 	98.70 e	99.02 b	98.81 	98.94 	98.97 
A,PC_HH,A2_DCH,EU28	: 	: 	: 	: 	: 	69.44 	75.79 	81.98 	86.00 	89.17 	90.97 	91.59 	94.53 	95.31 	96.89 	97.10 	98.08 	98.49 	: 	: 	: 	: 	: 
A,PC_HH,A2_DCH,FI	72.02 	74.04 	78.89 	81.89 	90.41 	91.81 	96.00 	98.24 	98.94 	99.59 	99.44 	100.00 	99.54 	100.00 	99.48 	99.76 	99.66 	100.00 	100.00 	100.00 	99.78 	99.48 	100.00 
A,PC_HH,A2_DCH,FR	36.90 	44.33 	49.06 	: 	59.35 	71.84 	80.04 	86.25 	91.57 	95.01 	95.60 	95.88 	97.29 	96.60 	97.52 	95.97 	98.33 	98.05 	: 	99.08 	98.81 	98.67 	98.87 
A,PC_HH,A2_DCH,HR	: 	: 	: 	: 	: 	61.81 	63.99 	71.89 	79.75 	87.20 	92.43 	93.26 	89.53 	95.19 	97.34 	96.67 	97.69 	97.74 	100.00 	98.64 	99.15 	100.00 	97.98 
A,PC_HH,A2_DCH,HU	: 	: 	26.04 	30.61 	42.53 	48.69 	65.52 	73.59 	77.88 	82.50 	85.29 	89.25 	91.48 	92.26 	94.50 	95.33 	96.18 	98.40 	98.20 	99.25 	99.45 	99.51 	99.86 
A,PC_HH,A2_DCH,IE	: 	52.72 	55.31 	59.67 	64.43 	73.17 	79.02 	82.16 	86.90 	92.67 	95.15 	94.92 	96.12 	97.09 	97.95 	98.42 	99.00 	98.51 	98.35 	100.00 b	: u	100.00 	98.21 
A,PC_HH,A2_DCH,IS	: 	: 	91.15 	93.80 	95.46 	95.77 	96.66 	97.43 	99.73 	99.34 	99.71 	99.73 	99.69 	: 	: 	99.67 	100.00 	100.00 	100.00 	: u	: 	: 	: 
A,PC_HH,A2_DCH,IT	42.89 	36.69 	41.35 	49.12 	49.06 	53.66 	58.79 	65.84 	73.04 	78.22 	76.49 	84.79 	88.50 	89.89 	93.02 	94.03 	95.02 	96.26 	97.89 	98.41 	98.82 	98.80 	99.05 
A,PC_HH,A2_DCH,LT	: 	: 	18.23 	20.78 	47.78 	67.81 	77.89 	86.81 	84.05 	89.43 	89.78 	92.88 	95.01 	96.63 	97.51 	96.16 	96.51 	99.32 	99.75 	99.56 	100.00 	99.56 	99.56 
A,PC_HH,A2_DCH,LU	60.04 	65.56 	78.26 	78.96 	84.55 	89.27 	90.41 	96.29 	98.77 	98.26 	98.37 	99.40 	99.23 	99.35 	99.72 	100.00 	97.45 b	98.50 	97.76 	100.00 	99.30 	100.00 	100.00 
A,PC_HH,A2_DCH,LV	: 	: 	23.89 	43.36 	60.49 	69.79 	73.26 	79.80 	82.52 	86.78 	91.20 	94.55 	94.64 	94.08 	95.69 b	97.30 	98.57 	98.61 	98.80 	99.09 	99.39 	99.81 	: 
A,PC_HH,A2_DCH,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	60.44 	: 	: 	: 	: 	88.72 	88.99 	94.69 	95.57 	96.69 	96.14 	98.73 	98.00 
A,PC_HH,A2_DCH,MK	: 	: 	12.85 	: 	: u	: 	30.38 	48.39 	63.32 	: 	67.05 	81.02 	78.65 	85.10 	79.80 	90.31 	96.79 	99.06 	93.96 	100.00 	: 	: 	99.06 
A,PC_HH,A2_DCH,MT	: 	: 	: 	: 	67.47 	68.78 	: u	84.19 	95.96 	90.85 	93.61 	95.30 	97.74 	97.63 	98.94 	98.73 	100.00 	98.62 	98.50 	99.45 	100.00 	99.61 	100.00 
A,PC_HH,A2_DCH,NL	: 	: 	: 	91.93 	95.21 	96.45 	98.36 	98.97 	99.13 	100.00 	99.59 	99.79 	99.28 	99.31 	99.50 	100.00 	99.55 	100.00 	98.71 	99.21 	98.88 	99.31 	99.50 
A,PC_HH,A2_DCH,NO	: 	84.89 	87.77 	90.40 	94.68 	96.72 	98.45 	99.80 	99.69 	100.00 	99.71 	98.64 	100.00 	99.64 	99.70 	100.00 	99.54 	100.00 	100.00 	100.00 	100.00 	98.93 	99.46 
A,PC_HH,A2_DCH,PL	: 	: 	36.52 	39.92 	49.55 	55.81 	64.79 	76.07 	84.88 	89.35 	93.06 	94.35 	93.98 	94.35 	98.36 	99.13 	99.17 	99.50 	99.55 	99.67 	99.86 	99.77 	99.92 
A,PC_HH,A2_DCH,PT	: 	32.66 	41.59 	41.83 	47.87 	53.84 	65.30 	71.43 	80.26 	82.84 	84.01 	86.51 	87.92 	92.10 	96.20 	96.14 	96.30 	96.64 	98.34 	98.60 	99.70 	98.79 	99.59 
A,PC_HH,A2_DCH,RO	: 	: 	: 	: 	16.89 	25.91 	35.93 	47.46 	53.41 	58.47 	64.09 	68.59 	77.57 b	81.50 	88.09 	91.05 	92.07 	94.10 	96.67 	99.14 	96.01 	99.05 	98.84 
A,PC_HH,A2_DCH,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	90.99 	: 	95.13 	92.77 	96.77 	97.95 	97.76 	100.00 	98.89 	98.96 
A,PC_HH,A2_DCH,SE	: 	: 	: 	92.51 	93.73 	94.72 	95.74 	97.74 	98.40 	98.54 	99.53 	99.24 	99.04 	97.35 	97.77 b	97.73 	98.76 	100.00 	99.04 	96.99 	98.43 	99.22 	98.16 
A,PC_HH,A2_DCH,SI	: 	: 	68.94 	66.86 	77.06 	77.75 	84.63 	85.03 	91.55 	95.11 	93.35 	95.13 	97.02 	97.31 	97.66 	98.65 	98.48 	98.35 	98.33 	97.87 	99.57 	100.00 	100.00 
A,PC_HH,A2_DCH,SK	: 	: 	29.02 	32.50 	33.24 	60.14 	74.24 	82.64 	84.90 	89.48 	92.49 	94.25 	96.68 	96.47 	95.69 	97.02 	97.29 	97.60 	90.73 	97.13 	98.89 	98.50 	99.41 
A,PC_HH,A2_DCH,TR	: 	: 	7.51 	: 	: 	19.52 	24.91 	31.63 	43.11 	: 	50.75 	53.95 	: 	: 	: 	: 	: 	: 	97.89 	99.30 	99.30 	99.54 	99.69 
A,PC_HH,A2_DCH,UK	67.93 	74.49 	76.57 	82.81 	84.92 	81.36 	84.49 	93.25 	93.56 	95.88 	97.71 	88.96 	98.38 	98.02 	99.53 	99.25 	99.81 	99.63 	99.86 	: 	: 	: 	: 
A,PC_HH,A2_DCH,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	84.71 	87.28 	89.48 	95.70 	: 	: 	: 	: 
A,PC_HH,ALL_DCH,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	88.93 	91.11 	92.09 	94.93 	100.00 	99.96 	: 
A,PC_HH,ALL_DCH,AT	44.15 	50.72 	61.89 	63.35 	67.71 	: u	83.93 	91.59 	93.91 	95.88 	96.66 	97.89 	97.80 	98.65 	98.34 	99.15 	98.98 	98.25 	98.29 	99.93 	98.97 	99.61 	99.35 
A,PC_HH,ALL_DCH,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	82.04 	83.02 	91.37 	96.12 	: 	96.54 	99.43 
A,PC_HH,ALL_DCH,BE	: 	: 	: 	68.65 	72.09 	77.62 	80.47 	84.01 	88.90 	91.27 	92.76 	93.17 	94.44 	94.93 	95.05 	96.44 	97.25 	98.39 	97.89 	98.33 	98.79 	98.93 	99.30 
A,PC_HH,ALL_DCH,BG	: 	: 	13.78 	: 	: 	35.67 	49.93 	59.28 	61.70 	66.47 	75.10 	74.85 	81.74 	85.91 	86.14 	87.23 	89.46 	90.53 	96.09 	96.03 	95.99 	97.75 	98.37 
A,PC_HH,ALL_DCH,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	98.79 	: 	: 	98.84 b	: 	97.07 	: 	99.80 	: 	99.91 	: 
A,PC_HH,ALL_DCH,CY	: 	: 	57.06 	44.49 	52.31 	53.56 	60.39 	73.78 	79.01 	80.04 	80.78 	84.49 	88.03 	89.84 	95.02 	95.55 	97.68 	99.84 	99.48 	99.25 	100.00 	99.64 	100.00 
A,PC_HH,ALL_DCH,CZ	: 	: 	33.19 	32.72 	45.33 	50.37 	62.97 	77.76 	79.77 	84.18 	89.83 	91.51 	92.95 	93.57 	95.32 	95.86 	97.88 	97.23 	98.57 	99.37 	99.66 	98.99 	99.62 
A,PC_HH,ALL_DCH,DE	66.18 	76.08 	82.48 	81.99 	87.34 	89.88 	93.74 	95.80 	96.87 	97.34 	98.59 	98.79 	99.26 	99.53 	99.55 	99.67 	99.77 	99.66 	99.73 	98.58 b	97.63 	97.87 	98.12 
A,PC_HH,ALL_DCH,DK	72.23 	: 	: 	: 	: 	: u	: u	95.79 	96.95 	97.19 	99.25 	98.34 	97.50 	97.53 	98.05 	99.89 	97.19 	98.30 	98.22 	98.90 	97.80 	98.70 	99.05 
A,PC_HH,ALL_DCH,EA	47.17 	51.81 	: 	63.17 	63.23 	70.85 	76.28 	81.60 	85.66 	88.86 	90.21 	92.21 	94.07 	95.09 	96.29 	96.49 	97.51 	98.12 	98.39 e	98.87 b	98.51 	98.76 	98.77 
A,PC_HH,ALL_DCH,EE	: 	: 	45.63 	: u	69.60 	78.83 	86.94 	90.70 	92.26 	93.57 	96.08 	97.83 	98.30 b	99.34 	99.33 	99.58 	99.20 	99.38 	99.26 	99.41 	99.70 	99.76 	99.62 
A,PC_HH,ALL_DCH,EL	17.75 	23.46 	23.40 	27.34 	32.28 	36.26 	44.77 	54.75 	65.94 	72.89 	78.80 	80.12 	84.37 	88.34 	88.96 	89.50 	94.89 	94.97 	95.83 	98.05 	97.53 	98.81 	96.90 
A,PC_HH,ALL_DCH,ES	: 	: 	: 	43.95 	49.27 	55.50 	63.39 	67.25 	73.37 	78.62 	81.84 	84.52 	89.40 	93.06 	95.45 	95.13 	96.99 	99.01 	99.79 	99.78 	99.85 	99.76 	99.27 
A,PC_HH,ALL_DCH,EU15	50.63 	54.87 	63.51 	65.95 	65.92 	72.41 	77.91 	83.43 	86.99 	90.09 	91.36 	92.04 	94.65 	95.61 	96.83 	96.90 	97.94 	: 	: 	: 	: 	: 	: 
A,PC_HH,ALL_DCH,EU25	: 	: 	54.54 	59.87 	62.91 	69.76 	75.91 	82.33 	86.23 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC_HH,ALL_DCH,EU27_2007	: 	: 	53.71 	59.87 	60.57 	67.09 	73.65 	80.33 	84.25 	87.80 	89.86 	90.85 	93.56 	94.71 	96.21 	96.64 	97.63 	: 	: 	: 	: 	: 	: 
A,PC_HH,ALL_DCH,EU27_2020	: 	: 	: 	: 	: 	65.84 	72.40 	78.95 	83.19 	86.84 	89.07 	91.05 	93.00 	94.25 	95.77 	96.35 	97.29 	97.93 	98.38 e	98.88 b	98.58 	98.85 	98.88 
A,PC_HH,ALL_DCH,EU28	: 	: 	: 	: 	: 	67.04 	73.55 	80.25 	84.21 	87.78 	89.86 	90.86 	93.51 	94.69 	96.21 	96.63 	97.63 	98.18 	: 	: 	: 	: 	: 
A,PC_HH,ALL_DCH,FI	68.44 	71.12 	76.63 	78.67 	89.36 	91.91 	96.10 	98.05 	98.65 	99.39 	99.56 	99.91 	99.55 	99.92 	99.35 	99.65 	98.98 	100.00 	100.00 	100.00 	99.85 	99.65 	99.90 
A,PC_HH,ALL_DCH,FR	33.59 	41.07 	: 	: 	54.25 	71.65 	77.27 	85.99 	89.80 	93.50 	94.51 	95.32 	96.28 	95.56 	96.68 	95.62 	97.27 	97.57 	: 	98.86 	98.04 	98.69 	98.68 
A,PC_HH,ALL_DCH,HR	: 	: 	: 	: 	: 	60.04 	61.97 	69.41 	79.58 	85.36 	90.51 	92.72 	87.80 	92.87 	96.81 	95.10 	97.61 	97.39 	98.22 	98.97 	98.88 	99.69 	98.58 
A,PC_HH,ALL_DCH,HU	: 	: 	25.19 	29.08 	40.66 	49.93 	63.27 	71.59 	75.95 	80.76 	85.31 	88.67 	91.25 	92.03 	93.92 	94.78 	95.64 	97.66 	98.03 	98.95 	99.29 	99.22 	99.43 
A,PC_HH,ALL_DCH,IE	: 	49.04 	50.73 	57.84 	60.95 	70.17 	76.29 	79.96 	84.30 	90.86 	93.31 	93.33 	94.76 	95.92 	97.17 	98.01 	98.98 	98.38 	95.07 	98.84 b	: u	99.27 	97.55 
A,PC_HH,ALL_DCH,IS	: 	: 	90.75 	93.93 	94.96 	93.59 	96.20 	97.03 	99.68 	99.10 	99.27 	99.85 	99.75 	: 	: 	99.71 	99.88 	100.00 	99.58 	: u	: 	: 	: 
A,PC_HH,ALL_DCH,IT	43.31 	37.72 	42.63 	50.63 	51.03 	54.96 	59.98 	67.47 	74.06 	78.46 	77.93 	84.76 	88.19 	90.10 	92.37 	93.78 	95.08 	96.11 	97.61 	98.56 	98.62 	98.63 	99.03 
A,PC_HH,ALL_DCH,LT	: 	: 	17.59 	22.28 	52.15 	69.50 	76.91 	84.24 	83.91 	86.81 	89.00 	91.55 	93.26 	95.36 	97.37 	96.65 	97.10 	98.95 	99.02 	98.97 	99.74 	99.74 	99.60 
A,PC_HH,ALL_DCH,LU	57.67 	64.98 	66.03 	77.69 	85.34 	88.50 	91.24 	96.22 	98.37 	98.42 	98.24 	99.64 	99.14 	99.61 	99.46 	99.81 	94.46 b	98.33 	98.24 	100.00 	99.51 	99.90 	100.00 
A,PC_HH,ALL_DCH,LV	: 	: 	22.33 	42.51 	61.62 	71.58 	72.57 	80.14 	81.88 	86.73 	90.76 	93.39 	94.42 	93.60 	94.52 b	96.13 	98.07 	98.15 	98.75 	98.63 	99.20 	99.44 	: 
A,PC_HH,ALL_DCH,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	66.82 	: 	: 	: 	: 	87.17 	89.99 	94.25 	94.33 	96.93 	95.31 	97.32 	97.78 
A,PC_HH,ALL_DCH,MK	: 	: 	: u	: 	16.46 	: 	30.88 	46.68 	57.26 	: 	69.13 	79.22 	84.82 	86.77 	86.88 	89.96 	95.53 	97.18 	96.67 	96.96 	: 	: 	98.52 
A,PC_HH,ALL_DCH,MT	: 	: 	: 	59.97 	51.07 	: u	: u	88.38 	94.56 	91.64 	93.92 	94.44 	98.26 	95.49 	98.25 	98.62 	98.76 	96.94 	97.95 	98.81 	100.00 	99.76 	99.83 
A,PC_HH,ALL_DCH,NL	: 	: 	: 	91.45 	: u	96.36 	97.71 	98.99 	99.25 	99.94 	98.87 	99.80 	99.29 	98.58 	99.46 	99.98 	99.39 	99.84 	98.97 	99.43 	98.67 	99.26 	99.65 
A,PC_HH,ALL_DCH,NO	: 	79.44 	84.05 	87.00 	90.94 	93.47 	97.83 	98.81 	98.50 	99.63 	99.82 	99.08 	99.44 	98.68 	99.81 	100.00 	99.70 	99.81 	100.00 	99.53 	100.00 	99.01 	98.53 
A,PC_HH,ALL_DCH,PL	: 	: 	34.09 	38.21 	47.35 	: u	61.43 	75.33 	82.90 	88.31 	91.53 	93.07 	94.00 	94.98 	97.74 	98.79 	99.19 	99.34 	99.51 	99.68 	99.92 	99.78 	99.95 
A,PC_HH,ALL_DCH,PT	: 	31.06 	38.53 	43.78 	46.55 	54.17 	66.80 	72.26 	80.26 	82.98 	85.13 	85.86 	88.02 	91.88 	95.53 	96.49 	96.24 	96.32 	98.24 	98.22 	99.23 	98.46 	99.06 
A,PC_HH,ALL_DCH,RO	: 	: 	: 	: 	17.16 	25.54 	35.30 	45.97 	50.45 	58.53 	62.86 	67.41 	74.61 b	79.69 	85.23 	90.65 	92.37 	94.42 	96.26 	98.60 	97.23 	98.81 	98.87 
A,PC_HH,ALL_DCH,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	88.44 	: 	91.61 	88.64 	95.31 	95.64 	95.13 	98.46 	98.84 	97.81 
A,PC_HH,ALL_DCH,SE	: 	: 	: 	88.76 	92.65 	92.48 	95.21 	96.85 	97.72 	98.75 	99.51 	99.48 	98.30 	97.90 	97.79 b	98.28 	98.18 	98.74 	98.64 	96.72 	98.27 	98.30 	97.00 
A,PC_HH,ALL_DCH,SI	: 	: 	: u	: u	75.32 	76.59 	84.83 	85.27 	92.08 	93.24 	95.00 	95.76 	96.71 	97.22 	96.98 	98.48 	98.55 	98.25 	98.84 	98.26 	99.74 	99.59 	100.00 
A,PC_HH,ALL_DCH,SK	: 	: 	29.21 	31.62 	33.79 	60.62 	74.84 	80.90 	85.79 	88.34 	92.33 	93.89 	96.11 	95.88 	95.82 	96.98 	94.56 	96.25 	91.53 	97.17 	98.95 	98.43 	98.67 
A,PC_HH,ALL_DCH,TR	: 	: 	7.45 	: 	: 	19.88 	25.13 	30.22 	42.50 	: 	48.39 	51.73 	: 	: 	: 	: 	: 	: 	97.64 	99.02 	99.32 	99.68 	99.78 
A,PC_HH,ALL_DCH,UK	63.12 	68.13 	71.21 	72.98 	76.68 	75.95 	82.28 	89.77 	91.11 	94.38 	95.26 	89.46 	96.64 	97.72 	99.12 	98.43 	99.79 	99.73 	99.90 	: 	: 	: 	: 
A,PC_HH,ALL_DCH,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	89.79 	94.00 	93.92 	97.67 	: 	: 	: 	: 
A,PC_HH,ALL_NDCH,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	79.88 	: 	83.33 	88.03 	97.34 	96.25 	: 
A,PC_HH,ALL_NDCH,AT	26.21 	32.50 	38.10 	40.15 	46.38 	53.17 	63.43 	62.36 	65.82 	69.13 	73.92 	75.38 	75.58 	77.67 	81.06 	85.69 	85.47 	87.23 	88.02 	93.45 	91.00 	93.24 	93.40 
A,PC_HH,ALL_NDCH,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	61.30 	68.10 	65.52 	67.13 	: 	75.17 	76.93 
A,PC_HH,ALL_NDCH,BE	: 	: 	: 	42.78 	47.05 	53.43 	57.19 	61.09 	66.55 	70.89 	72.00 	75.11 	78.42 	76.96 	80.97 	82.07 	83.59 	86.59 	88.27 	89.82 	92.93 	93.00 	89.04 
A,PC_HH,ALL_NDCH,BG	: 	: 	7.98 	: 	: 	16.19 	21.14 	24.99 	28.71 	40.05 	43.47 	47.51 	49.21 	51.78 	57.52 	61.96 	66.40 	70.05 	75.55 	79.25 	84.39 	87.05 	89.85 
