freq,unit,hhtyp,geo\TIME_PERIOD	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,PC_HH,A1,IT	11.02 	22.36 	21.06 	20.85 	20.95 	24.45 	27.67 	34.13 	38.94 	41.91 	43.17 	49.19 	56.09 	59.06 	63.91 	68.99 	73.17 	73.55 	77.47 	80.36 	83.78 	84.78 	88.05 
A,PC_HH,A1,LT	: 	: 	3.04 	4.71 	11.85 	16.26 	25.61 	32.44 	33.51 	31.49 	31.66 	38.11 	44.32 	46.19 	52.34 	56.74 	61.99 	65.77 	69.93 	77.64 	80.20 	82.31 	84.45 
A,PC_HH,A1,LU	26.66 	30.56 	47.09 	45.40 	51.91 	61.49 	63.24 	74.76 	80.81 	81.99 	85.80 	87.56 	90.91 	92.02 	94.47 	94.23 	87.44 b	89.32 	84.71 	97.97 	94.86 	98.45 	95.56 
A,PC_HH,A1,LV	: 	: 	3.48 	11.71 	17.14 	18.02 	18.70 	24.38 	31.92 	33.41 	38.19 	46.55 	48.67 	51.95 	59.46 b	60.93 	67.28 	73.71 	81.74 	83.05 	83.37 	87.40 	: 
A,PC_HH,A1,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18.84 	: 	: 	: 	: 	34.80 	35.33 	39.26 	47.96 	46.81 	51.16 	58.32 	61.44 
A,PC_HH,A1,MK	: 	: 	6.48 	: 	: u	: 	: u	: u	7.76 	: 	17.59 	18.22 	11.52 	20.11 	21.13 	23.23 	33.75 	39.54 	48.11 	51.00 	: 	: 	66.48 
A,PC_HH,A1,MT	: 	: 	: 	7.72 	55.97 	24.01 	24.44 	30.34 	39.26 	44.99 	52.14 	59.36 	53.35 	63.62 	60.55 	68.05 	62.58 	76.53 	80.12 	78.97 	85.59 	87.23 	92.77 
A,PC_HH,A1,NL	: 	: 	: 	62.38 	64.40 	67.53 	70.55 	78.38 	82.84 	85.75 	86.76 	88.11 	91.53 	93.26 	94.91 	96.02 	96.65 	97.36 	93.88 	97.99 	97.74 	98.74 	98.49 
A,PC_HH,A1,NO	: 	44.39 	37.68 	52.80 	50.18 	64.02 	67.89 	72.21 	83.55 	86.22 	84.57 	90.04 	86.27 	93.65 	94.96 	93.29 	92.54 	96.46 	92.37 	98.13 	98.29 	98.65 	97.04 
A,PC_HH,A1,PL	: 	: 	15.91 	14.70 	16.10 	17.20 	20.84 	30.21 	32.69 	32.32 	39.58 	42.89 	45.26 	45.44 	51.80 	52.55 	57.11 	64.26 	74.08 	78.85 	80.98 	79.27 	86.35 
A,PC_HH,A1,PT	: 	7.18 	9.06 	13.13 	13.08 	15.57 	22.28 	23.61 	28.97 	32.80 	33.98 	37.59 	39.82 	48.44 	51.98 	57.05 	70.63 	70.33 	76.11 	80.98 	80.59 	81.99 	84.59 
A,PC_HH,A1,RO	: 	: 	: 	: 	5.37 	9.98 	11.82 	16.29 	18.59 	19.90 	29.32 	32.78 	36.45 b	45.33 	47.29 	52.84 	59.19 	64.90 	67.64 	72.97 	76.75 	80.81 	87.35 
A,PC_HH,A1,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	28.03 	: 	32.92 	50.59 	56.54 	53.90 	57.64 	57.22 	: 	74.48 
A,PC_HH,A1,SE	: 	: 	: 	55.57 	60.50 	64.20 	74.56 	75.22 	78.51 	80.27 	82.62 	84.43 	80.65 	83.15 	88.41 b	89.36 	86.38 	91.88 	84.29 	88.09 	89.58 	90.65 	92.33 
A,PC_HH,A1,SI	: 	: 	13.34 	: u	16.83 	20.91 	25.21 	34.52 	29.92 	47.44 	38.34 	53.04 	49.71 	46.98 	53.18 	56.32 	67.28 	77.24 	79.34 	84.62 	82.71 	87.99 	87.97 
A,PC_HH,A1,SK	: 	: 	13.33 	12.48 	11.30 	24.32 	31.93 	33.79 	39.29 	39.96 	47.66 	49.90 	47.59 	50.36 	54.22 	54.43 	54.68 	50.33 	75.43 	77.22 	76.70 	74.66 	78.92 
A,PC_HH,A1,TR	: 	: 	3.02 	: 	: 	10.75 	15.26 	15.21 	20.98 	: 	30.81 	29.98 	: 	: 	: 	: 	: 	: 	76.87 	: 	84.55 	87.77 	90.39 
A,PC_HH,A1,UK	32.01 	35.97 	35.78 	36.91 	41.48 	47.50 	49.22 	54.18 	60.07 	63.80 	68.31 	87.69 	74.48 	76.03 	81.33 	84.76 	85.65 	89.54 	92.87 	: 	: 	: 	: 
A,PC_HH,A1,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	73.41 	65.40 	72.29 	76.26 	: 	: 	: 	: 
A,PC_HH,A1_DCH,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	74.33 u	82.44 u	86.58 u	80.50 u	100.00 u	100.00 u	: 
A,PC_HH,A1_DCH,AT	33.12 	32.42 	50.97 	49.39 	48.13 	: u	72.42 	83.68 	84.31 	90.39 	96.39 	96.85 	95.46 	97.37 	97.28 	97.58 	99.04 	98.74 	98.70 	100.00 	99.53 	97.54 	98.32 
A,PC_HH,A1_DCH,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	58.83 	72.25 u	94.92 u	100.00 u	: 	87.56 	100.00 u
A,PC_HH,A1_DCH,BE	: 	: 	: 	44.49 	47.81 	58.09 	62.99 	67.06 	75.57 	82.09 	79.74 	79.73 	88.80 	85.59 	89.15 	93.70 	90.59 	95.90 	93.87 	95.27 	98.07 	95.60 	97.49 
A,PC_HH,A1_DCH,BG	: 	: 	13.11 	: 	: 	17.75 	44.70 	43.16 	44.04 	51.51 u	76.30 	71.89 	86.92 u	95.52 u	81.28 u	87.89 u	92.00 u	85.66 u	: u	97.46 u	95.93 u	: u	96.43 
A,PC_HH,A1_DCH,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	96.01 u	: 	: 	100.00 bu	: 	95.50 u	: 	100.00 u	: 	100.00 u	: 
A,PC_HH,A1_DCH,CY	: 	: 	62.79 	33.92 	36.20 	38.59 	30.00 	61.23 	69.44 	46.25 u	81.11 u	70.60 u	67.93 u	80.14 u	89.81 u	95.28 u	94.86 u	100.00 u	100.00 u	97.71 u	100.00 u	100.00 u	100.00 u
A,PC_HH,A1_DCH,CZ	: 	: 	19.52 	21.75 	30.33 	25.99 	49.26 	63.74 	62.52 	70.47 	71.09 	79.87 	83.39 	87.20 	84.34 	84.69 	95.71 	92.87 	97.11 	97.89 	99.69 	100.00 	98.73 
A,PC_HH,A1_DCH,DE	51.49 	59.16 	71.75 	63.41 	73.14 	73.75 	81.19 	86.58 	89.76 	91.56 	95.15 	97.07 	97.37 	98.84 	98.35 	99.13 	99.09 	99.31 	98.33 	97.27 b	94.89 	97.14 	95.78 
A,PC_HH,A1_DCH,DK	58.13 	58.04 	68.70 	70.81 	84.01 	: u	: u	90.11 	94.10 	92.06 	97.38 u	97.73 	98.39 	96.60 	100.00 	100.00 	93.41 	97.18 	100.00 	100.00 	97.12 	95.29 	100.00 
A,PC_HH,A1_DCH,EA	36.37 	41.17 	44.08 	52.86 	46.98 	64.16 	68.86 	78.22 	80.43 	83.03 	86.34 	89.38 	91.46 	91.69 	93.25 	94.06 	95.16 	96.74 	96.76 e	97.86 b	96.25 	98.01 	97.27 
A,PC_HH,A1_DCH,EE	: 	: 	29.09 	: u	44.78 	51.42 	79.29 	83.03 u	84.32 u	78.07 u	89.86 	97.08 u	95.02 b	100.00 	97.86 	100.00 	97.95 	99.04 	100.00 	99.18 	100.00 	98.87 	99.13 
A,PC_HH,A1_DCH,EL	16.07 	29.10 	30.95 	16.20 	20.49 	32.44 	31.32 	50.29 	66.81 	69.27 u	71.98 u	77.67 u	61.26 u	88.98 u	74.90 u	80.08 u	95.71 u	95.41 u	97.73 u	97.47 u	94.01 u	100.00 u	90.75 u
A,PC_HH,A1_DCH,ES	: 	: 	: 	34.98 	40.26 	43.33 	54.96 	53.13 	66.12 	68.94 	75.58 	71.41 	81.51 	87.07 	89.07 	91.27 	95.70 	98.76 	99.41 	99.74 	99.91 	99.76 	98.23 
